rm SN2012ht_w2_sum.img
rm SN2012ht_w2_h5.img
rm SN2012ht_w2_full.img
rm SN2012ht_w2_all.img
rm SN2012ht_w2_goodaspcor.img
fappend 00032662033/uvot/image/sw00032662033uw2_sk_sum.img SN2012ht_w2_sum.img
fappend 00032662034/uvot/image/sw00032662034uw2_sk_sum.img SN2012ht_w2_sum.img
fappend 00085541001/uvot/image/sw00085541001uw2_sk_sum.img SN2012ht_w2_sum.img
fappend 00085541002/uvot/image/sw00085541002uw2_sk_sum.img SN2012ht_w2_sum.img
fappend 00085541003/uvot/image/sw00085541003uw2_sk_sum.img SN2012ht_w2_sum.img
fappend 00085541004/uvot/image/sw00085541004uw2_sk_sum.img SN2012ht_w2_sum.img
fextract 00032662001/uvot/image/sw00032662001uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662001/uvot/image/sw00032662001uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662001/uvot/image/sw00032662001uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662002/uvot/image/sw00032662002uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+4 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+5 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+6 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+7 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+8 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+9 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+10 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+11 SN2012ht_w2_full.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+12 SN2012ht_w2_full.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+4 SN2012ht_w2_full.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+5 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+4 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+5 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+6 SN2012ht_w2_full.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+7 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+4 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+5 SN2012ht_w2_full.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+6 SN2012ht_w2_full.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662013/uvot/image/sw00032662013uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+4 SN2012ht_w2_full.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662028/uvot/image/sw00032662028uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662029/uvot/image/sw00032662029uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662029/uvot/image/sw00032662029uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662030/uvot/image/sw00032662030uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662030/uvot/image/sw00032662030uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662031/uvot/image/sw00032662031uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662031/uvot/image/sw00032662031uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+3 SN2012ht_w2_full.img
fappend  00032662033/uvot/image/sw00032662033uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662033/uvot/image/sw00032662033uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00032662034/uvot/image/sw00032662034uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00032662034/uvot/image/sw00032662034uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00085541001/uvot/image/sw00085541001uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00085541002/uvot/image/sw00085541002uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00085541003/uvot/image/sw00085541003uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00085541004/uvot/image/sw00085541004uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+1 SN2012ht_w2_full.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+2 SN2012ht_w2_full.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+3 SN2012ht_w2_full.img
fextract 00032662001/uvot/image/sw00032662001uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662001/uvot/image/sw00032662001uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662001/uvot/image/sw00032662001uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662002/uvot/image/sw00032662002uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+4 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+5 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+6 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+7 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+8 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+9 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+10 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+11 SN2012ht_w2_all.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+12 SN2012ht_w2_all.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+4 SN2012ht_w2_all.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+5 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+4 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+5 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+6 SN2012ht_w2_all.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+7 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+4 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+5 SN2012ht_w2_all.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+6 SN2012ht_w2_all.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662013/uvot/image/sw00032662013uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+4 SN2012ht_w2_all.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662028/uvot/image/sw00032662028uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662029/uvot/image/sw00032662029uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662029/uvot/image/sw00032662029uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662030/uvot/image/sw00032662030uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662030/uvot/image/sw00032662030uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662031/uvot/image/sw00032662031uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662031/uvot/image/sw00032662031uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662032/uvot/image/sw00032662032uw2_sk.img+3 SN2012ht_w2_all.img
fappend  00032662033/uvot/image/sw00032662033uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662033/uvot/image/sw00032662033uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00032662034/uvot/image/sw00032662034uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00032662034/uvot/image/sw00032662034uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00085541001/uvot/image/sw00085541001uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00085541002/uvot/image/sw00085541002uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00085541003/uvot/image/sw00085541003uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00085541004/uvot/image/sw00085541004uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+1 SN2012ht_w2_all.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+2 SN2012ht_w2_all.img
fappend  00085541005/uvot/image/sw00085541005uw2_sk.img+3 SN2012ht_w2_all.img
fextract 00032662001/uvot/image/sw00032662001uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662001/uvot/image/sw00032662001uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662002/uvot/image/sw00032662002uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+4 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+5 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+6 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+7 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+8 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+9 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+10 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+11 SN2012ht_w2_goodaspcor.img
fappend  00032662004/uvot/image/sw00032662004uw2_sk.img+12 SN2012ht_w2_goodaspcor.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+4 SN2012ht_w2_goodaspcor.img
fappend  00032662005/uvot/image/sw00032662005uw2_sk.img+5 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+4 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+5 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+6 SN2012ht_w2_goodaspcor.img
fappend  00032662006/uvot/image/sw00032662006uw2_sk.img+7 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+4 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+5 SN2012ht_w2_goodaspcor.img
fappend  00032662007/uvot/image/sw00032662007uw2_sk.img+6 SN2012ht_w2_goodaspcor.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662008/uvot/image/sw00032662008uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662010/uvot/image/sw00032662010uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662011/uvot/image/sw00032662011uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662012/uvot/image/sw00032662012uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662013/uvot/image/sw00032662013uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662014/uvot/image/sw00032662014uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662017/uvot/image/sw00032662017uw2_sk.img+4 SN2012ht_w2_goodaspcor.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662019/uvot/image/sw00032662019uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662020/uvot/image/sw00032662020uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662021/uvot/image/sw00032662021uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662022/uvot/image/sw00032662022uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662023/uvot/image/sw00032662023uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662024/uvot/image/sw00032662024uw2_sk.img+3 SN2012ht_w2_goodaspcor.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662025/uvot/image/sw00032662025uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662026/uvot/image/sw00032662026uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
fappend  00032662027/uvot/image/sw00032662027uw2_sk.img+2 SN2012ht_w2_goodaspcor.img
fappend  00032662028/uvot/image/sw00032662028uw2_sk.img+1 SN2012ht_w2_goodaspcor.img
