# CfA Hicken et al. 2009, ApJ, 700, 331
53693.32300 15.334 0.017
53694.31400 15.206 0.018
53695.31400 15.118 0.019
53704.22200 15.386 0.020
53706.29200 15.714 0.021
53707.26500 15.870 0.022
53708.28100 16.043 0.020
53711.25200 16.423 0.023
53714.27000 16.695 0.021
53725.20000 17.194 0.022
53726.18800 17.252 0.024
53729.24500 17.338 0.024
53730.12900 17.373 0.018
53731.18300 17.416 0.022
53741.17300 17.756 0.041
53752.18000 17.817 0.056
53766.10100 18.177 0.028
53768.11700 18.239 0.036
53777.09500 18.592 0.057
# Contreras et al. 2010, AJ, 139, 519
53689.68 16.629 0.012 16.222 0.009
53690.76 16.139 0.010 15.743 0.008
53694.75 15.209 0.008 14.735 0.006
53695.71 15.095 0.008 14.591 0.009
53698.71 14.893 0.006 14.282 0.005
53699.71 14.919 0.011 14.226 0.006
53702.70 15.116 0.011 14.221 0.008
53703.76 15.289 0.013 14.272 0.007
53706.71 15.750 0.014 14.532 0.008
53707.82 15.917 0.008 14.673 0.009
53712.71 16.568 0.011 15.174 0.008
53713.67 16.631 0.013 15.268 0.007
53716.65 16.838 0.008 15.505 0.006
53720.68 17.028 0.012 15.794 0.010
53721.65 17.087 0.011 15.857 0.010
53725.72 17.228 0.011 16.084 0.008
53730.71 17.369 0.011 16.310 0.009
53736.67 17.516 0.014 16.519 0.009
53737.67 17.551 0.013 16.552 0.009
53741.64 17.630 0.010 16.700 0.008
53746.67 17.744 0.017 16.852 0.010
53750.60 17.816 0.016 16.961 0.010
53755.63 17.930 0.015 17.101 0.009
53761.69 18.083 0.015 17.297 0.010
53763.58 18.096 0.016 17.354 0.013
53764.60 18.111 0.015 17.393 0.012
53765.58 18.138 0.020 17.427 0.015
53767.54 18.174 0.012 17.470 0.009
53771.56 18.249 0.016 17.587 0.012
53773.57 18.279 0.016 17.646 0.015
53775.41 18.331 0.021 17.705 0.015
53778.56 18.370 0.024 17.790 0.018
53784.54 18.507 0.016 17.951 0.015
53786.55 18.532 0.023 18.056 0.016
53798.53 18.804 0.023 18.350 0.020
53804.56 18.859 0.029 18.489 0.025
53809.53 19.043 0.082 18.637 0.049
53819.49 19.140 0.025 18.961 0.028                                
53967.87 21.375 0.072 21.928 0.074
