# CfA Hicken et al. 2009, ApJ, 700, 331
53437.25416 13.857 0.023
53438.27318 13.891 0.024
53438.27897 13.871 0.024
53438.28521 13.859 0.021
53439.24318 13.908 0.022
53440.25669 13.986 0.021
53441.30376 14.063 0.022
53443.21584 14.235 0.015
53450.11149 15.244 0.023
53453.11856 15.742 0.025
53459.23724 16.275 0.017
53469.15379 16.921 0.025
53473.13340 16.995 0.018
53473.14418 17.094 0.034
53474.13177 16.989 0.017
53474.14256 17.001 0.017
53474.15339 17.013 0.016
53476.14603 17.086 0.019
53477.14847 17.023 0.019
53481.13699 17.150 0.019
53482.13997 17.235 0.018
53482.16389 17.194 0.020
53486.14219 17.248 0.017
53494.14505 17.352 0.019
# Contreras et al. 2010, AJ, 139, 519
53432.06 14.082 0.013 14.033 0.007
53436.11 13.851 0.003 13.782 0.002
53438.06 13.882 0.006 13.765 0.005
53444.13 14.344 0.008 13.975 0.006
53445.13 14.465 0.008 14.045 0.006
53446.13 14.599 0.006 14.129 0.006                  
53452.06 15.447 0.011 14.541 0.009
53453.05 15.581 0.009 14.615 0.006
53454.08 15.711 0.011 14.693 0.007
53455.15 15.871 0.012 14.768 0.006
53456.06 15.958 0.010 14.841 0.007
53457.06 16.057 0.010 14.923 0.007
53458.03 16.174 0.010 15.040 0.006
53459.16 16.301 0.011 15.158 0.006
53460.00 16.386 0.012 15.233 0.006
53461.00 16.440 0.012 15.342 0.008
53464.02 16.679 0.012 15.558 0.008
53465.02 16.740 0.013 15.631 0.007
53466.02 16.783 0.013 15.671 0.008
53467.13 16.814 0.011 15.720 0.007
53468.02 16.854 0.012 15.769 0.007
53471.98 16.960 0.013 15.890 0.008
53472.98 17.004 0.013 15.949 0.008
53473.99 17.010 0.012 15.991 0.008
53474.98 17.030 0.014 16.024 0.008
53475.98 17.035 0.015 16.033 0.010
53476.97 17.079 0.014 16.085 0.010
53477.97 17.109 0.017 16.114 0.010
53478.97 17.033 0.026 16.090 0.030
53489.97 17.128 0.018 16.187 0.011
53480.96 17.147 0.015 16.197 0.010
53482.00 17.131 0.023 16.244 0.014
53483.00 17.182 0.017 16.261 0.011
53488.99 17.295 0.015 16.435 0.010
53499.96 17.282 0.019 16.459 0.009
53490.96 17.332 0.025 16.496 0.014
53511.95 17.529 0.020 17.070 0.016
