,HostName,PSN,type,redshifts, ,Nobs,targetids,SNra,SNdec,template status,max_ks,filters_used,notes,other_SNe,ra,dec,gallat,gallong,Avschaflly,morphology,reference,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err, , ,ref, , ,ref, , ,ref, , ,ref, , , ,
#SNname,HostName,PSN,type,redshifts, ,Nobs,targetids,SNra,SNdec,template status,max_ks,filters_used,notes,other_SNe,ra,dec,gallat,gallong,Avschaflly,morphology,reference,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err, , ,ref, , ,ref, , ,ref, , ,ref, , , ,
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , ,ASASSN-18qk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , ,ASASSN-18tb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , ,ASASSN-18km, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2018fek?, , , , , , , ,02:08:07.97,-71:18:45.90, ,nothing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2018feb, , , , , ,5, ,17:10:11.16 ,+21:38:56.53, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
?, , , , ,ASASSN-18sk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
AT2018evk, , ,II,0.03, ,3, ,23:15:44.96 ,+06:54:39.70,KP,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
