SN2017eaw,NGC 6946,,II,0.000133,Gaia17bmy,29,23.72363747,25.003661,HF,,23.72363747,25.003661,,,,35,,,,,,,,,,,,,,,,,,,test
SN2008S,NGC 6946,,IIn-Imp?,0.00016,,4,23.72363747,25.003661,HF,,23.72363747,25.003661,,,,0,,,ref,,,ref,28.92,0.21,2008ApJ...683..630H,,,,29.15,0.07,TRGB_2000AandA...362..544K,,,,test
PSNinNGC55,,PSNJ00150875-3912501,imposter?,0.00043,,6,26.26628607,7.760137305,HF,,26.26628607,7.760137305,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2010da,NGC 300,,LBV,0.00048,,20,26.50514998,6.953206278,HF,,26.50514998,6.953206278,,,,17,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2014J,NGC 3034,PSNJ09554214+6940260,Ia,0.000677,,70,27.25081771,4.93931307,HF,,27.25081771,4.93931307,,,,25,,,ref,,,ref,,,YES,,,,27.73,0.02,TRGB_Jacobs_etal_2009,,,,test
SN2010U,NGC 4214,,LBV,0.00097,,1,28.03280246,3.454308145,HF,,28.03280246,3.454308145,,,,0,,,ref,,,ref,,,ref,,,,,,,,,ref,test
AT2019clr,,,,,,,28.24586268,3.134594177,HF,,28.24586268,3.134594177,,,,,,,,,,,,,,,,,,,,,,,test
SN2014bc,NGC 4258,PSNJ12185771+4718113,IIP,0.001494,PS1-14xz,8,28.96972759,2.259235725,HF,,28.96972759,2.259235725,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2011dh,NGC 5194,,IIb,0.002,,76,29.04124247,2.187799455,HF,Arcavi_etal_2011,29.04124247,2.187799455,,,,37,,,ref,,,SBF_Tonry_etal_2001_29.42_0.27,29.41,0.12,PNLF_Ciardullo_etal_2002,,,,,,,,,ref,test
SN2005cs,NGC 5194,,II,0.00154,,38,29.04124247,2.187799455,HF,Pastorello_etal_2006,29.04124247,2.187799455,,,,9,,,ref,,,SBF_29.42_0.27,29.41,0.12,PNLF_Ciardullo_etal_2002ApJ...577...31C,,,,,,,,,ref,test
SN2018htr,,,LBV,,,,29.05992192,2.16929649,HF,,29.05992192,2.16929649,,,,,,,,,,,,,,,,,,,,,,,test
SN2018bwo,,,LRN,,,,29.05992192,2.16929649,HF,,29.05992192,2.16929649,,,,,,,,,,,,,,,,,,,,,,,test
SN2011fe,M101,,Ia,0.000804,,150,29.139,0.0459,Cepheid,Cepheids_Riess_etal_2016,27.62342273,4.164086865,,,,211,29.139,0.0459,Cepheids_Riess_etal_2016,,,ref,,,ref,,,,,,,,,ref,test
ASASSN-18gq,ESO 325-G11,,,0.001818,,12,29.39532003,1.867517046,HF,,29.39532003,1.867517046,,,,,,,,,,,,,,,,,,,,,,,test
SN2021qvv,NGC 4442,,,,,,29.40327415,1.861396672,HF,,29.40327415,1.861396672,,,,,,,,,,,,,,,,,,,,,,,
SN2016adj,NGC 5128,,Ib,0.001825,,4,29.40327415,1.861396672,HF,,29.40327415,1.861396672,,,,0,,,,,,yes,,,yes,,,,,,,,,,test
SN2011ja,NGC 4945,,IIP,0.001878,,3,29.46587949,1.810015407,HF,,29.46587949,1.810015407,,,,0,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2008ax,NGC 4490,,IIb,0.001885,,20,29.47357976,1.80384446,HF,Folatelli_etal_2015,29.47357976,1.80384446,,,,1,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2014ge,NGC 4080,,Ib,0.001891,MASTER-OT-J120451.50+265946.6,3,29.48125281,1.797869243,HF,,29.48125281,1.797869243,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2012fh,NGC 3344,,Ib/c,0.0001935,,2,29.53047749,1.758774913,HF,,29.53047749,1.758774913,,,,0,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2010dn,NGC 3184,,LBV,0.001975,,3,29.57494605,1.724527391,HF,,29.57494605,1.724527391,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
CSS140914,,,Ia,0.03,CSS140914-010107-101840,8,29.60409377,,HF,,29.60409377,,,,,0,,,ref,,,YES,,,YES,,,,,,,,,ref,test
SN2013ej,NGC 628,PSNJ01364816+1545310,II,0.002192,,24,29.80116437,1.561191314,HF,,29.80116437,1.561191314,,,,37,,,ref,,,ref,29.67,0.06,2008ApJ...683..630H,,,,,,,,,ref,test
SN2010br,NGC 4051,,Ibc,0.002336,,2,29.93882772,1.470180471,HF,,29.93882772,1.470180471,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2021J,NGC 4414,,,,,,29.96350381,1.454551311,HF,,29.96350381,1.454551311,,,,,,,,,,,,,,,,,,,,,,,
SN2013df,NGC 4414,PSNJ12262933+3113383,II,0.002388,,27,29.98790263,1.439772411,HF,,29.98790263,1.439772411,,,,22,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2018hna,UGC 7534,,II-87A,,,,30.00602351,1.42791853,HF,,30.00602351,1.42791853,,,,8,,,,,,,,,,,,,,,,,,,test
SN2016cok,M66,,IIP,0.002425,ASASSN-16fq,12,30.02100957,1.418813853,HF,,30.02100957,1.418813853,,,,3,,,,,,,,,,,,,,,,,,,test
SN2009hd,NGC 3627,,II,0.002425,,3,30.02100957,1.418813853,HF,,30.02100957,1.418813853,,,,1,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2020nlb,M85,, Ia,,,,30.02697516,1.415071681,HF,,30.02697516,1.415071681,,,,,,,,,,,,,,,,,,,,,,,test
SN2012A,NGC 3239,,II,0.002512,,18,30.0973124,1.372807534,HF,Tomasella_etal_2013,30.0973124,1.372807534,,,,4,,,ref,,,A10,,,ref,,,,,,,,,ref,test
SN2012aw,NGC 3351,PSNJ10435372+1140177,IIP,0.002595,,48,30.1,0.07,Cepheid,Cepheid_Saha_etal_2006,30.1682355,1.331668555,,,,24,30.1,0.07,Cepheid_Saha_etal_2006,,,ref,30.05,0.16,Ciardullo_etal_2002,,,,,,,,,ref,test
SN2009dd,NGC 4088,,II,0.002524,,5,30.10881692,1.365891053,HF,,30.10881692,1.365891053,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
AT2016blu,NGC 4559,PSNJ12355216+2755560,LBV,0.002692,,3,30.24770519,1.286900406,HF,,30.24770519,1.286900406,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2013am,NGC 3623,PSNJ11185695+1303494,II,0.002692,iPTF13aaz,12,30.24770519,1.287019719,HF,,30.24770519,1.287019719,,,,2,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2017ein,NGC 3938,,Ic,0.0027,Gaia17bjw,16,30.25308013,1.284173929,HF,Xiang_etal_2019,30.25308013,1.284173929,,,,0,,,,,,,,,,,,,,,,,,,test
SN2014C,NGC 7331,PSNJ22370560+3424319,Ib,0.0027,,37,30.27178831,1.27374528,HF,Milisavlijevic_etal_2015,30.27178831,1.27374528,,,,0,,,Cepheids,,,YES,,,ref,,,,,,,,,ref,test
SN2013bu,NGC 7331,PSNJ22370217+3424052,II,0.002722,,1,30.27178831,1.27374528,HF,,30.27178831,1.27374528,,,,1,,,Cepheids,,,YES,,,ref,,,,,,,,,ref,test
SN2020nvb,NGC 4457,, Ia,,,,30.44068044,1.186251581,HF,,30.44068044,1.186251581,,,,,,,,,,,,,,,,,,,,,,,test
SN2018zd,NGC 2146,,IIn,0.002979,,31,30.46759481,1.172631041,HF,Zhang_etal_2020,30.46759481,1.172631041,,,,22,,,,,,,,,,,,,,,,,,,test
SN2006E,NGC 5338,,Ia,0.00272,,11,30.54,0.3,SBF,SBF_Tonry_etal_2001,30.27178831,1.274923798,,,,4,,,ref,30.54,0.3,SBF_Tonry_etal_2001,,,ref,,,,,,,,,,test
SN2018pv,NGC 3941,,Ia,0.003102,,13?,30.55575226,1.130260557,HF,,30.55575226,1.130260557,,,,,,,,,,,,,,,,,,,,,,,test
SN2012cc,NGC 4419,PSNJ12265681+1502455,II-87K,-0.00087,,4,30.65,0.25,SBF,2001ApJ...546..681T,,,,,,,,,ref,30.65,0.25,2001ApJ...546..681T,,,ref,,,,,,,0.88,0.33,CMB_1996ApJ...473..576F,test
#SNinNGC5112,,PSNJ13215756+3843229,LBV,0.003252,,4,30.6583606,1.08287025,HF,,30.6583606,1.08287025,,,,,,,,,,,,,,,,,,,,,,,test
SN2021gmj,NGC 3310,,,,,,30.69808376,1.065335552,HF,,30.69808376,1.065335552,,,,,,,,,,,,,,,,,,,,,,,
SN2021hiz,IC 3322A,,,,,,30.69808376,1.065276054,HF,,30.69808376,1.065276054,,,,,,,,,,,,,,,,,,,,,,,
SN2018imf,NGC 4639,,II,,,,30.75207641,1.042168677,HF,,30.75207641,1.042168677,,,,,,,,,,,,,,,,,,,,,,,test
SN2013ak,ESO 430-G20,PSNJ08070669-2803101,II,0.003402,,18,30.75633838,1.040109691,HF,,30.75633838,1.040109691,,,,6,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2009N,NGC 4487,,IIP,0.003449,,6,30.79013629,1.025848853,HF,,30.79013629,1.025848853,,,,2,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2016ija,NGC 1532,,II,0.003468,DLT16am,5,30.79850421,1.022593434,HF,,30.79850421,1.022593434,,,,0,,,,,,,,,,,,,,,,,,,test
SN2016iae,NGC 1532,,Ic,0.003468,ATLAS16dvr,5,30.79850421,1.022593434,HF,,30.79850421,1.022593434,,,,,,,,,,,,,,,,,,,,,,,test
SN2012cu,NGC 4772,PSNJ12532935+0209390,Ia,0.003469,,3,30.79850421,1.022593434,HF,,30.79850421,1.022593434,,,,,,,ref,,,ref,,,ref,,,,,,,,,short_reddened,test
SN2021rhu,NGC 7814,,,,,,30.8213511,1.012862366,HF,,30.8213511,1.012862366,,,,,,,,,,,,,,,,,,,,,,,
SN2006bp,NGC 3953,,IIP,0.00351,,35,30.82341622,1.012046247,HF,Immler_etal_2007,30.82341622,1.012046247,,,,12,,,ref,,,ref,,,ref,,,,,,,,,SCM_Dessart_etal_2008_31.22_0.07,test
SN2016coi,UGC 11868,,Ic-BL,0.003646,ASASSN-16fp,49,30.90643833,0.978852587,HF,Terreran_etal_2019,30.90643833,0.978852587,,,,27,,,,,,,,,,,,,,,,,,,test
SN2015as,UGC 5460,PSNJ10081137+5150409,II,0.003646,,4,30.90643833,0.978852587,HF,Gangopadhyay_etal_2018,30.90643833,0.978852587,,,,4,,,,,,,,,,,,,,,,,,,test
SN2011ht,UGC 5460,,IIn,0.003646,,38,30.90643833,0.978852587,HF,,30.90643833,0.978852587,,,,15,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2005ke,NGC 1371,,Ia-91bg,0.00488,,35,30.91,0.31,SBF,SBF-0.16_Tonry_etal_2001,31.53955915,0.766693649,,,,23,,,ref,30.91,0.31,SBF-0.16_Tonry_etal_2001,,,ref,,,,,,,,,ref,test
SN2010ae,ESO 162-G17,,Ia-p,0.003662,,15,30.91634922,0.974957148,HF,,30.91634922,0.974957148,,,,0,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2018ivc,M77,, II,,,,30.99213984,0.94565888,HF,,30.99213984,0.94565888,,,,,,,,,,,,,,,,,,,,,,,test
SN2018ivc,M77,, II,,,,30.99213984,0.94565888,HF,,30.99213984,0.94565888,,,,,,,,,,,,,,,,,,,,,,,
SN2013by,ESO 138-G10,PSNJ16590243-6011418,IIn/IIL,0.003816,,19,31.00546764,0.940603915,HF,,31.00546764,0.940603915,,,,6,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2009bw,UGC 2890,,II,0.003853,,6,31.02624744,0.933192939,HF,,31.02624744,0.933192939,,,,3,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2016bau,NGC 3631,,Ib,0.003856,,29,31.02812669,0.932146327,HF,Tonry_etal_2016,31.02812669,0.932146327,,,,,,,,,,,,,,,,,,,,,,,test
SN2021pit,NGC 1448,,,,,,31.05055173,0.923933994,HF,,31.05055173,0.923933994,,,,,,,,,,,,,,,,,,,,,,,
SN2021pit,NGC 1448,,,,,,31.05055173,0.923933994,HF,,31.05055173,0.923933994,,,,,,,,,,,,,,,,,,,,,,,
SN2014df,NGC 1448,PSNJ03442399-4440081,Ib,0.003896,,4,31.05055173,0.923933994,HF,,31.05055173,0.923933994,,,,,,,ref,,,ref,,,ref,,,,,,,,,ref,test
SN2012cg,NGC 4424,PSNJ12271283+0925132,Ia-99aa,0.001458,,40,31.08,0.2958,Cepheid,Cepheids_Riess_etal_2016,28.9157447,2.314635804,,,,24,31.08,0.2958,Cepheids_Riess_etal_2016,,,ref,,,ref,30.9,0.3,TF_Cortes_etal_2008,,,,,,,test
SN2017cbv,NGC 5643,,Ia-99aa,0.003999,DLT17u,10,31.10743343,0.903457875,HF,,31.10743343,0.903457875,,,,25,,,ref,,,ref,,,ref,,,,30.48,0.03,TRGB_Hoyt_et_all_2021,,,ref,test
SN2013aa,NGC 5643,PSNJ14323388-4413278,Ia,0.003999,,26,31.10743343,0.903457875,HF,,31.10743343,0.903457875,,,,23,,,ref,,,ref,,,ref,,,,30.48,0.03,TRGB_Hoyt_et_all_2021,,,ref,test
SN2014dg,UGC 2855,PSNJ03481978+7007545,Ia,0.004003,,9,31.10924375,0.902787393,HF,,31.10924375,0.902787393,,,,6,,,ref,,,ref,,,ref,,,,,,,,,TF,test
SN2016aqf,NGC 2101,,II,0.004016,ASASSN-16cc,11,31.11646995,0.900261138,HF,Muller-Bravo_etal_2020,31.11646995,0.900261138,,,,7,,,,,,,,,,,,,,,,,,,test
SN2018get,UGC 3912,, II,,,,31.15401796,0.887338024,HF,,31.15401796,0.887338024,,,,,,,,,,,,,,,,,,,,,,,test
SN2006X,NGC 4321,,Ia,0.00524,,22,31.19,0.1,Cepheid,Cepheids,31.69421844,0.725088309,,,,0,31.19,0.1,Cepheids,,,ref,,,ref,,,,,,,,,Tonry_etal_2001,test
SN2021smj,NGC 4411b,,,,,,31.23577307,0.859436912,HF,,31.23577307,0.859436912,,,,,,,,,,,,,,,,,,,,,,,
SN2011iy,NGC 4984,,Ia,0.004266,,15,31.24769024,0.855815285,HF,,31.24769024,0.855815285,,,,,,,ref,,,ref,,,ref,,,,,,,,,late,test
SN2016B,CGCG 012-116,,II,0.004293,ASASSN-16ab,8,31.26123025,0.855732324,HF,Dastidar_etal_2018,31.26123025,0.855732324,,,,7,,,,,,,,,,,,,,,,,,,test
SN2008ge,NGC 1527,,Ia,0.004043,,4,31.28,0.22,SBF,SBF_Tonry_etal_2001,31.13085062,0.897910305,,,,0,,,ref,31.28,0.22,SBF_Tonry_etal_2001,,,ref,,,,,,,,,short,test
SN2005df,NGC 1559,,Ia,0.00435,,26,31.28972547,0.841955992,HF,,31.28972547,0.841955992,,,,15,,,ref,,,,,,ref,30.91,0.31,TF,,,,31.41,0.07,Miras_Huang_etal_2019,test
SN2013ge,NGC 3287,PSNJ10344846+2139419,Ic,0.004356,,34,31.2930534,0.841060342,HF,Drout_etal_2016,31.2930534,0.841060342,,,,5,,,ref,,,ref,,,ref,,,,,,,,,ref,test
PS15bgt,NGC 6412,PSNJ22460504-1059484,Ib-IIb,0.0089,,2,31.30466115,0.837039191,HF,,31.30466115,0.837039191,,,,0,,,,,,,,,,,,,,,,,,,test
SN2012fr,NGC 1365,PSNJ03333599-3607377,Ia,0.005457,,71,31.306,0.0576,Cepheid,Cepheids_Riess_etal_2016,31.78225401,0.702990354,,,,24,31.306,0.0576,Cepheids_Riess_etal_2016,,,ref,,,ref,31.16,0.35,Tully_etal_2009,,,,,,,test
ASASSN-14dc,PGC 2035709,,IIn/Ia-CSM,0.044,,12,31.31620717,0.854607725,HF,,31.31620717,0.854607725,,,,13,,,ref,,,ref,,,ref,,,,,,,,,ref,test
