,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,template status, ,max_ks,filters_used,notes,other_SNe,ra,dec,gallat,gallong,Avschaflly,morphology,reference,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,PNLF_dm,PNLF_dm_err,PNLF_dm_ref,Other_dm,Other_dm_err,Other_dm_ref,TF_dm,TF_dm_err,TF_dm_ref,test
#SNname,HostName,PSN,type,redshifts, ,Nobs,targetids,SNra,SNdec,template status,mast_status,max_ks,filters_used,notes,other_SNe,ra,dec,gallat,gallong,Avschaflly,morphology,reference,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err, , ,ref, , ,ref, , ,ref, , ,ref, , , ,test
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020rlj, , , , , , , ,23:01:09.609,+23:29:13.95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020rgz, , , , , , , ,18:12:01.059,+51:43:28.56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020qic, , , , , , , ,00:15:05.611,+43:20:35.64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020pst,UGC 768, , , , , , ,01:13:12.038,+02:17:01.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020pjj, , , , , , , ,13:50:41.314,+30:29:20.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020nta,NGC 6065, , , , , , ,16:07:23.346,+13:53:33.44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020nxt, , ,Ibn, , , , ,22:37:36.235 ,+35:00:07.68,do, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020nvb,NGC 4457, , , , , , ,12:28:58.790,+03:34:22.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020nlb,M85, , , , , ,13595,12:25:24.181,+18:12:12.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020mr,NGC2650, , , , ,4,13050,08:50:03.811 ,+70:17:33.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020mjm,UGC 9299, , , , , ,13562,14:29:29.331,-0:01:18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020llx,NGC 7140, , , , , ,13537,21:52:14.015,-55:33:45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020lil, , , , , , , ,14:37:59.670,+09:23:18.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020lao, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020kyx,CGCG 137-064, , , , , , ,16:13:45.538,+22:55:14.36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020kpx,CGCG 050-050, , , , , , ,15:38:10.144,+04:46:50.60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020kyg,NGC 5012, , , , , ,13505,13:11:39.596,+22:54:55.92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020jfo,M61, , , , , ,13494,12:21:50.479,+04:28:54.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020hvp,NGC 6118, , , , , ,13478,16:21:45.395,-2:17:21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020hvf,NGC 3643, , , , , ,13466,11:21:26.450,+03:00:52.85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020jgl,MCG -02-24-27, , , , , , ,09:28:58.431,-14:48:20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020jdo, , , , , , , ,18:15:43.648,+58:12:54.81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020fxa, , , , , , , ,15:34:33.036,+37:32:01.85, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020ekk,UGC 10528, , , , , ,13290,16:44:45.160,+22:30:48.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020ees,NGC 5157, , , , , , ,13:27:15.192,+32:02:01.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020dul,NGC 5804, , , , , , ,14:57:13.902,+49:40:27.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020dhj, , , , , , , ,14:53:30.373,+17:17:20.97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020cwd,PGC 481435, , , , , , ,06:06:59.063,-49:00:25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020cui, , , , , , , ,11:22:19.650,-7:34:47, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020bvc,UGC 9379, , , , , , ,14:33:57.021,+40:14:38.10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020bpi, , , , , , , ,13:23:29.024,+62:26:46.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020bio,NGC 5371, , , , , ,13198,13:55:37.685,+40:28:39.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020big,WISEA J050115.92-140124.3, , , , , , ,05:01:15.791,-14:01:28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020aqe,NGC 3836, , , , , , ,11:43:29.781,-16:47:53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
SN2020akf,KUG 0925+387B, , , , , , ,09:28:39.617,+38:33:47.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
#SN2020aeq nothing at the coordinates, , , , , , ,13183, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,test
SN2020vg,IC 738, , , , , , ,11:48:54.440,-4:40:54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
