SN2014J,NGC 3034,PSNJ09554214+6940260,Ia,0.000677,,70,,'09:55:42.12,+69:40:25.9,0.16,0,"Dalcanton_etal_2009,S_F_2011",9h55m52.43s,69d40m46.93s,141.409498,40.567579,0.000677,I0;Sbrst       HII,203,4,432,11,'2014-01-21,,done,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test
SN2011fe,M101,,Ia,0.000804,,150,,'14:03:05.711,+54:16:25.22,0.024,0.0024,S_F_2011,14h03m12.583s,54d20m55.5s,102.0373262,59.7713817,0.000804,SAB(rs)cd      HII,241,2,455,9,'2011-08-24,,done,,,,,,,,,,,,,,,,33.81609974,0.423002454,HF,,33.81609974,0.423002454,,,,,,,,,,,,,,,,,,,,,,,
SN2012cg,NGC 4424,PSNJ12271283+0925132,Ia-99aa,0.001458,,40,,'12:27:12.83,+09:25:13.2,0.055,0.0055,S_F_2011,12h27m11.5747s,9d25m14.3198s,283.880973,71.390068,0.001458,SB(s)a:        HII,437,2,227,10,'2012-05-17,,done,,,,,,,,,,,,,,,,34.01434352,0.410436917,HF,,34.01434352,0.410436917,,,,,,,,,,,,,,,,,,,,,,,
SN2006E,NGC 5338,,Ia,0.00272,,11,,'13:53:28.65,+05:12:22.8,0.072,0.0072,S_F_2011,13h53m26.5501s,5d12m27.9527s,339.652771,63.568001,0.002722,SB0:           HII,816,9,754,10,'2006-01-12,,done,,,,,,,,,,,,,,,,35.94171235,0.359272277,HF,,35.94171235,0.359272277,,,,,,,,,,,,,,,,,,,,,,,
SN2011by,NGC 3972,,Ia,0.002843,,63,,'11:55:45.56,+55:19:33.8,0.037,0.0037,S_F_2011,11h55m45.117s,55d19m14.42s,138.84806,60.05345,0.002843,SA(s)bc,852,1,1272,19,'2011-04-26,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2018pv,NGC 3941,,Ia,0.003102,,13?,,'11:52:55.763,+36:59:10.36,0.057,0.0057,S_F_2011,11h52m55.36s,36d59m10.96s,170.717701,74.193943,0.003102,SB(s)0^0^      Sy2,930,5,1291,20,'2018-02-03 15:09:07.000,'2018-01-25 16:06:55,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2012cu,NGC 4772,PSNJ12532935+0209390,Ia,0.003469,,3,32505,'12:53:29.35,+02:09:39.0,0.072,0.0072,S_F_2011,12h53m29.1637s,2d10m06.133s,304.1442621,65.0352999,0.003469,SA(s)a;LINER   Sy3,1040,5,969,10,'2012-06-14,,fillin,,,,,,,,,,,,,,,,33.26740257,0.464942838,HF,,33.26740257,0.464942838,,,,,,,,,,,,,,,,,,,,,,,
SN2012ht,NGC 3447,PSNJ10532275+1646349,Ia,0.003559,,34,32662,'10:53:22.75,+16:46:34.9,0.078,0.0078,S_F_2011,10h53m23.9703s,16d46m20.7404s,227.5618,60.8417,0.003559,2.3,1067,1,1315,21,'2012-12-18,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2010ae,ESO 162-G17,,Ia-p,0.003662,,15,,'07:15:54.65,-57:20:36.9,0.378,0.0378,S_F_2011,7h15m54.523s,-57d20m36.39s,268.255347,-19.433995,0.003662,Sb? pec sp,1098,5,944,19,'2010-02-22,,done,,,,,,,,,,,,,,,,32.67857985,0.533115828,HF,,32.67857985,0.533115828,,,,10,,,,,,,,,,,,,,,,,,,
SN2013dy,NGC 7250,PSNJ22181760+4034096,Ia,0.003889,,10,32882,'22:18:17.60,+40:34:09.6,0.412,0.0412,S_F_2011,22h18m17.776s,40d33m44.66s,93.974636,-13.544231,0.003889,Sdm?           Sbrst,1166,5,1410,20,'2013-07-10,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2013aa,NGC 5643,PSNJ14323388-4413278,Ia,0.003999,,26,3272432793,'14:32:33.88,-44:13:27.8,0.456,0.0456,S_F_2011,14h32m40.778s,-44d10m28.6s,321.4428064,15.0282448,0.003999,SAB(rs)c       Sy2,1199,2,1051,21,'2013-02-13,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cbv,NGC 5643,,Ia-99aa,0.003999,DLT17u,10,,'14:32:34.420,-44:08:02.74,0.453,0.0453,S_F_2011,14h32m40.778s,-44d10m28.6s,321.4428064,15.0282448,0.003999,SAB(rs)c       Sy2,1199,2,1051,21,'2017-03-10 04:06:14.000,'2017-02-17 06:02:52,done,,,,,,,,,,,,,,,,35.11139705,0.371467407,HF,,35.11139705,0.371467407,,,,,,,,,,,,,,,,,,,,,,,
SN2014dg,UGC 2855,PSNJ03481978+7007545,Ia,0.004003,,9,,'03:48:19.78,+70:07:54.5,1.9,0.1,"Brown_walker_2020,S_F_2011",3h48m20.731s,70d07m58.37s,136.9695,12.246265,0.004003,SABc           HII,1200,1,1445,15,'2014-09-11,,done,,,,,,,,,,,,,,,,36.09471879,0.357568614,HF,,36.09471879,0.357568614,,,,,,,,,,,,,,,,,,,,,,,
SN2008ge,NGC 1527,,Ia,0.004043,,4,,'04:08:24.68,-47:53:47.4,0.034,0.0034,S_F_2011,4h08m24.09s,-47d53m48.9692s,255.146056,-46.709611,0.004043,SA(r)0^0,1212,17,1112,22,'2008-10-08,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2015bp,NGC 5839,,Ia-91bg,0.004069,SNhunt281,13,,'15:05:30.1,+01:38:02,0.141,0.0141,S_F_2011,15h05m27.473s,1d38m04.68s,0.200193,49.008961,0.004069,SAB(rs)0^0^:,1220,5,1581,23,'2015-03-16 11:45:36.000,'2014-07-01 05:45:07,done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
