name,type,redshift,right ascension,declination,TNSprefix
SN2013cj,IIn,,256.22063,12.91956,SN
SN2013cj,IIn,,256.22063,12.91956,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2014ey,Iax,0.03197,226.124882,2.330903,SN
SN2016iyz,II,0.0104,88.155958,-17.78715,SN
SN2016iyd,II,0.034,114.29065,-52.31783,SN
SN2016iyd,II,0.034,114.29065,-52.31783,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2015bn,SLSN-I,0.11,173.423125,0.725972,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2016itd,Ia,0.0175,214.698917,24.940839,SN
SN2016ipf,Ia,0.021,121.80464649,5.68327026538,SN
SN2016ija,II,0.003468,63.031667,-32.852911,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016hzg,II,0.019,16.154667,-2.542319,SN
SN2016hnk,Ia,0.016,33.319312,-7.661332,SN
SN2016hnk,Ia,0.016,33.319312,-7.661332,SN
SN2016hgm,II,0.008,20.5492197344,0.95205540894,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016hgm,II,0.008,20.5492197344,0.95205540894,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016gxp,Ia,0.0186,3.644083,48.252231,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gsb,Ia,0.0097,91.1175,-20.3401,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016grk,II,0.018,319.922,21.965631,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gfy,II,0.008,111.691375,85.764211,SN
SN2016gfr,Ia,0.014,274.898208,23.785889,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gkg,IIb,0.0049,23.560167,-29.440061,SN
SN2016gfr,Ia,0.014,274.898208,23.785889,SN
SN2016gfy,II,0.008,111.691375,85.764211,SN
SN2016gdw,II,0.065,336.771335,23.279324,SN
SN2016frp,Ib-pec,0.027,5.385583,-5.956747,SN
SN2016ffh,Ia,0.018,227.956083,46.250931,SN
SN2016els,SLSN-I,0.217,307.558019897,-10.9505021327,SN
SN2016ekg,Ia,0.017,330.015333,-30.184261,SN
SN2016ekg,Ia,0.017,330.015333,-30.184261,SN
SN2016ekt,Ia,0.017,328.366175,-34.405819,SN
SN2016eiy,Ia,0.0087,203.660833,-23.681511,SN
SN2016coi,Ic-BL,0.0036,329.767083,18.186306,SN
SN2016coj,Ia,0.005,182.028333,65.177167,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016edk,Ibn,0.0744,266.809167,30.224806,SN
SN2016edk,Ibn,0.0744,266.809167,30.224806,SN
SN2016ccz,Ia,0.0149,217.788333,27.235972,SN
SN2016cqj,II,0.022,359.057233,-0.541233,SN
SN2016coj,Ia,0.005,182.028333,65.177167,SN
SN2016cwf,Ia,0.14,229.924083,11.037994,SN
SN2016cvx,Ia,0.192,188.281083,56.437197,SN
SN2016coi,Ic-BL,0.0036,329.767083,18.186306,SN
SN2016coj,Ia,0.005,182.028333,65.177167,SN
SN2016coi,Ic-BL,0.0036,329.767083,18.186306,SN
SN2016coj,Ia,0.005,182.028333,65.177167,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016ccz,Ia,0.0149,217.788333,27.235972,SN
SN2016ccz,Ia,0.0149,217.788333,27.235972,SN
SN2016cvx,Ia,0.192,188.281083,56.437197,SN
SN2016ccz,Ia,0.0149,217.788333,27.235972,SN
SN2016ccj,Ia-pec,0.03,257.599583,26.396778,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016ccj,Ia-pec,0.03,257.599583,26.396778,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016blz,II,0.011,235.122083,0.910306,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016asf,Ia,0.021,102.65303,31.1126,SN
SN2016bkv,II,0.002,154.580458,41.427583,SN
SN2016bkv,II,0.002,154.580458,41.427583,SN
SN2016aqt,Ia-pec,0.05,206.461458,26.7965,SN
SN2016bau,Ib,0.003856,170.245917,53.173778,SN
SN2016asf,Ia,0.021,102.65303,31.1126,SN
SN2016aiy,IIn,0.01,197.105833,-41.980639,SN
SN2016aqt,Ia-pec,0.05,206.461458,26.7965,SN
SN2016arc,Ia,,49.83863,41.49024,SN
SN2016ajf,Ia-91bg-like,0.0203,49.976958,41.564861,SN
SN2016aiy,IIn,0.01,197.105833,-41.980639,SN
SN2016ajf,Ia-91bg-like,0.0203,49.976958,41.564861,SN
SN2016adi,Ia,0.015,206.929625,-30.932506,SN
SN2016adj,Ib,,201.350458,-43.015972,SN
SN2016adj,Ib,,201.350458,-43.015972,SN
SN2016adj,Ib,,201.350458,-43.015972,SN
SN2017ivu,IIP,0.0065,234.136292,16.605581,SN
SN2017ivv,II,0.003,307.207417366,-4.38260923798,SN
SN2017hcc,IIn,0.0173,0.960792,-11.474611,SN
SN2017egm,SLSN-I,0.030721,154.773417,46.453911,SN
SN2017hcc,IIn,0.0173,0.960792,-11.474611,SN
SN2017hoq,Ia,0.02,79.83454,-17.6115888889,SN
SN2017hzw,Ia-CSM,0.051,31.32553,53.20373,SN
SN2017hjy,Ia,0.007,39.010708,43.472061,SN
SN2017hxz,II,0.08,53.546345,-13.9358171429,SN
SN2017hcc,IIn,0.0173,0.960792,-11.474611,SN
SN2017fgc,Ia,0.008,20.060167,3.402767,SN
SN2017hjy,Ia,0.007,39.010708,43.472061,SN
SN2015fn,Ic,0.0549,37.58355,37.23519,SN
SN2017hcc,IIn,0.0173,0.960792,-11.474611,SN
SN2017hoq,Ia,0.02,79.83454,-17.6115888889,SN
SN2017hcc,IIn,0.0173,0.960792,-11.474611,SN
SN2017hky,II,0.009725,170.877125,63.366511,SN
SN2017hky,II,0.009725,170.877125,63.366511,SN
SN2017hjy,Ia,0.007,39.010708,43.472061,SN
SN2017gas,IIn,0.01,304.297333,58.20225,SN
SN2017fzw,Ia-91bg-like,0.0054,95.395083,-27.214881,SN
SN2017egm,SLSN-I,0.030721,154.773417,46.453911,SN
SN2017hbf,Ia,0.038,237.823565833,-15.4529675,SN
SN2017glq,Ia,0.011755,32.116583,6.387869,SN
SN2017gvp,Ia,0.023,355.444958,-1.350919,SN
SN2017gir,IIn,0.164,24.936917,-23.254769,SN
SN2017grw,Ia,0.017,239.37374,15.87276,SN
SN2017gah,Ia,0.0089,330.67675,-32.792631,SN
SN2017fzw,Ia-91bg-like,0.0054,95.395083,-27.214881,SN
SN2017gas,IIn,0.01,304.297333,58.20225,SN
SN2017glq,Ia,0.011755,32.116583,6.387869,SN
SN2017gmr,II,0.005,38.87575,-9.354189,SN
SN2017gir,IIn,0.164,24.936917,-23.254769,SN
SN2017gmr,II,0.005,38.87575,-9.354189,SN
SN2017gas,IIn,0.01,304.297333,58.20225,SN
SN2017fzw,Ia-91bg-like,0.0054,95.395083,-27.214881,SN
SN2017gah,Ia,0.0089,330.67675,-32.792631,SN
SN2017gci,SLSN-I,0.09,101.687625,-27.24885,SN
SN2017gax,Ib/c,0.0044,71.45625,-59.245139,SN
SN2017fzw,Ia-91bg-like,0.0054,95.395083,-27.214881,SN
SN2017gax,Ib/c,0.0044,71.45625,-59.245139,SN
SN2017gah,Ia,0.0089,330.67675,-32.792631,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017ein,Ic,0.0027,178.221875,44.123919,SN
SN2017fgc,Ia,0.008,20.060167,3.402767,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017faf,II,0.0295,263.666619783,26.3061034507,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017ein,Ic,0.0027,178.221875,44.123919,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017erp,Ia,0.006174,227.311667,-11.334181,SN
SN2017emq,Ia,0.005247,150.077374986,54.5397422446,SN
SN2017ein,Ic,0.0027,178.221875,44.123919,SN
SN2017ein,Ic,0.0027,178.221875,44.123919,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017drh,Ia,0.005554,263.108583,7.063161,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017eaw,II,0.00013,308.684333,60.193289,SN
SN2017cyy,Ia,0.0098,144.150833,-63.948389,SN
SN2017drh,Ia,0.005554,263.108583,7.063161,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017cyy,Ia,0.0098,144.150833,-63.948389,SN
SN2016iyd,II,0.034,114.29065,-52.31783,SN
SN2016blz,II,0.011,235.122083,0.910306,SN
SN2016gdw,II,0.065,336.771335,23.279324,SN
SN2017cyy,Ia,0.0098,144.150833,-63.948389,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017bzc,Ia,0.005365,349.061292,-42.5696,SN
SN2017ckq,Ia,0.01,161.105708,-32.209139,SN
SN2017cjb,II,0.0094,193.460208,9.704917,SN
SN2017awz,Ia-91T-like,0.022,166.897863333,22.85127,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017cbv,Ia,0.003999,218.143417,-44.134094,SN
SN2017azw,Ia,0.02,65.707125,-82.069358,SN
SN2017bgu,Ib,0.008,253.997852235,42.5600231429,SN
SN2017SNi,IIb,0.016,147.48625,67.183211,SN
SN2017awz,Ia-91T-like,0.022,166.897863333,22.85127,SN
SN2017ahn,II,0.009,159.322792,-41.618131,SN
SN2017ln,Ia,0.025,174.640383818,25.3970966888,SN
SN2016hgs,Ib-Ca-rich,0.017,12.714131,27.379996,SN
SN2017ahn,II,0.009,159.322792,-41.618131,SN
SN2017ahn,II,0.009,159.322792,-41.618131,SN
SN2017ln,Ia,0.025,174.640383818,25.3970966888,SN
SN2017hm,Ia,0.021,173.294112678,-10.2220742817,SN
SN2017jd,Ia,0.007,353.651958038,-4.53453429439,SN
SN2017bc,Ia,0.027,184.961923089,-6.8555604185,SN
SN2018kzr,Ic,0.053,127.2227503,1.1107514,SN
SN2018lab,II,0.0092,94.1105,-21.375661,SN
SN2018evt,Ia,0.029,206.66325372,-9.6433322657,SN
SN2018kpo,II,0.01749,55.179458,-6.423319,SN
SN2018kag,IIn,0.02736,133.9519813,3.6415297,SN
SN2018hna,II,0.0024,186.550292,58.314119,SN
SN2018ilu,Ia,0.03,353.33737147,4.80965071182,SN
SN2018hti,SLSN-I,0.063,55.224,11.77705,SN
SN2018jkb,II,0.021,35.290833,-4.073269,SN
SN2018ibb,SLSN-I,0.16,69.737292,-20.66225,SN
SN2018jbs,Ibn,0.059,208.915417,58.043181,SN
SN2018jov,Ia,0.019213,120.0297895,58.7097536,SN
SN2018jky,Ia,0.01458,51.508917,-17.5629,SN
SN2018ibb,SLSN-I,0.16,69.737292,-20.66225,SN
SN2018hti,SLSN-I,0.063,55.224,11.77705,SN
SN2018hna,II,0.0024,186.550292,58.314119,SN
SN2018ivc,II,0.00379,40.6719841216,-0.00886706747595,SN
SN2018isq,Ia,0.007599,49.2109892492,80.7846248988,SN
SN2018jag,Ia-91bg-like,0.04,15.951289809,10.5923271658,SN
SN2018ivc,II,0.00379,40.6719841216,-0.00886706747595,SN
SN2018ivc,II,0.00379,40.6719841216,-0.00886706747595,SN
SN2018ilu,Ia,0.03,353.33737147,4.80965071182,SN
SN2018aad,II-pec,0.024,59.506417,-65.506761,SN
SN2018isq,Ia,0.007599,49.2109892492,80.7846248988,SN
SN2018ilu,Ia,0.03,353.33737147,4.80965071182,SN
SN2018ilu,Ia,0.03,353.33737147,4.80965071182,SN
SN2018imf,IIP,0.0036,190.672458,13.265231,SN
SN2018hti,SLSN-I,0.063,55.224,11.77705,SN
SN2018ilu,Ia,0.03,353.33737147,4.80965071182,SN
SN2018hmx,II,0.038,128.413917,55.598081,SN
SN2018hti,SLSN-I,0.063,55.224,11.77705,SN
SN2018ieu,Ia,0.0405,31.79525,-9.024639,SN
SN2018hxf,II,0.0296,65.5748442,-5.4682797,SN
SN2018hpu,Ia,0.066,49.58872,-41.60968,SN
SN2018dfi,II,0.031302,252.708684348,45.3978997826,SN
SN2018hom,Ic-BL,0.0362,344.84551874,8.75120395549,SN
SN2018bgv,SLSN-I,0.08,165.626208,55.598831,SN
SN2018hpu,Ia,0.066,49.58872,-41.60968,SN
SN2018fpi,Ia-91T-like,0.038854,356.1143058,5.6637039,SN
SN2018hna,II,0.0024,186.550292,58.314119,SN
SN2018hkx,Ia,0.025,60.224375,-66.67525,SN
SN2018gft,SLSN-I,0.23,359.3247537,-15.6314773,SN
SN2018hna,II,0.0024,186.550292,58.314119,SN
SN2018aad,II-pec,0.024,59.506417,-65.506761,SN
SN2018gft,SLSN-I,0.23,359.3247537,-15.6314773,SN
SN2018hkx,Ia,0.025,60.224375,-66.67525,SN
SN2018fif,II,0.017189,2.360625,47.354069,SN
SN2018gwa,IIn,0.0659,110.06975,41.346631,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018gep,Ic-BL,0.032,250.950837548,41.0453830323,SN
SN2018gvi,Ia,0.020908,43.9001235609,43.0575948445,SN
SN2018gwo,Ic-Ca-rich,0.0076,182.16175,68.779019,SN
SN2018zf,II,0.01905,291.831463,65.565086,SN
SN2018gro,Ia-91bg-like,0.0217,332.955,38.700417,SN
SN2018gft,SLSN-I,0.23,359.3247537,-15.6314773,SN
SN2018gep,Ic-BL,0.032,250.950837548,41.0453830323,SN
SN2018etk,Ic-BL,0.04415,229.260542,3.944111,SN
SN2018get,II,0.004086,113.53811,4.54927,SN
SN2018gep,Ic-BL,0.032,250.950837548,41.0453830323,SN
SN2018gep,Ic-BL,0.032,250.950837548,41.0453830323,SN
SN2018fcg,SLSN-I,0.101,317.40325,33.4832,SN
SN2018feb,Ia,0.0148,257.546542,21.649061,SN
SN2018fif,II,0.017189,2.360625,47.354069,SN
SN2018fif,II,0.017189,2.360625,47.354069,SN
SN2018fcg,SLSN-I,0.101,317.40325,33.4832,SN
SN2018fif,II,0.017189,2.360625,47.354069,SN
SN2018fdt,IIn,0.055,256.1847282,38.2355488,SN
SN2018feb,Ia,0.0148,257.546542,21.649061,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018feq,Ia-91T-like,0.032,18.82711,-44.91943,SN
SN2018evk,II,0.03,348.937323333,6.91102666667,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018bsz,II,0.027,242.412965541,-32.0626763514,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018dfy,II,0.013519,325.887208,43.549481,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018dhw,Ia,0.0323,284.989835376,72.2673112347,SN
SN2018dfi,II,0.031302,252.708684348,45.3978997826,SN
SN2018dfc,II,0.03651,252.032333,24.304131,SN
SN2018zf,II,0.01905,291.831463,65.565086,SN
SN2018bsz,II,0.027,242.412965541,-32.0626763514,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018bsz,II,0.027,242.412965541,-32.0626763514,SN
SN2018cuf,II,0.0108,319.048125,-64.482639,SN
SN2018cyg,II,0.01127,233.535333,56.696869,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cuf,II,0.0108,319.048125,-64.482639,SN
SN2018cug,II,0.05,267.3298968,49.4124315,SN
SN2018cxn,IIP,0.0401,237.0269066,55.7148077,SN
SN2018cow,Ic-BL,0.014,244.000917,22.268031,SN
SN2018cvf,Ia,0.06383,181.669167,59.513389,SN
SN2018cxn,IIP,0.0401,237.0269066,55.7148077,SN
SN2018cnw,Ia-91T-like,0.028,254.770958,47.23645,SN
SN2018cqw,Ia,,274.3842,19.44458,SN
